PDT000335808.1|SAMN09476358||Escherichia albertii|Escherichia albertii|557304|Pathogen: environmental/food/other	SRR7417192
PDT000155132.2|SAMN05965233||Escherichia albertii|Escherichia albertii|253881|Pathogen: clinical or host-associated	SRR4786049
PDT000020133.1|SAMN02641387|GCA_000512125.1|Escherichia albertii KF1||KF1|Pathogen: clinical or host-associated	
PDT000132226.2|SAMN05171021||Escherichia albertii|None|186581|Pathogen: clinical or host-associated	SRR3578988
PDT000130676.2|SAMN05004010||Shigella sonnei|None|168480|Pathogen: clinical or host-associated	SRR3530508
PDT000005521.2|SAMN02436276|GCA_000155105.1|Escherichia albertii TW07627||TW07627|Generic	
PDT000157038.2|SAMN05980803||Escherichia coli|Escherichia coli|151073|Pathogen: clinical or host-associated	SRR4897526
PDT000161895.2|SAMN06035375||Escherichia albertii|Escherichia albertii|161904|Pathogen: environmental/food/other	SRR5033713
PDT000271622.2|SAMN08172569||Escherichia coli||2012C-3221|Pathogen: clinical or host-associated	SRR6373717
PDT000102215.1|SAMD00026626|GCA_001514595.1|Escherichia albertii||4051-6|MIGS Cultured Bacterial/Archaeal	
PDT000010909.2|SAMN02469843|GCA_000208425.2|Escherichia albertii TW08933||TW08933|Generic	
PDT000131845.2|SAMN05163799||Escherichia albertii|None|211128|Pathogen: clinical or host-associated	SRR3574322
PDT000102232.1|SAMD00026635|GCA_001514945.1|Escherichia albertii||EC05-44|MIGS Cultured Bacterial/Archaeal	
PDT000102230.1|SAMD00026633|GCA_001514905.1|Escherichia albertii||EC03-195|MIGS Cultured Bacterial/Archaeal	
PDT000253682.1|SAMN07760972|GCA_002563295.1|Escherichia albertii||403_13|Pathogen: clinical or host-associated	
PDT000291293.1|SAMN05604790|GCA_002965385.1|Escherichia albertii||MOD1-EC5802|Pathogen: environmental/food/other	
PDT000041492.6|SAMN03019926||Escherichia albertii|||Pathogen: clinical or host-associated	SRR2015207
PDT000281488.1|SAMN08159313|GCA_002895205.1|Escherichia albertii||1551-2|Microbe	
PDT000385879.1|SAMN10138308|GCA_004234505.1|Escherichia albertii||PNUSAE018652|Pathogen: clinical or host-associated	SRR7908820
PDT000132137.2|SAMN05170947||Escherichia albertii|None|242400|Pathogen: clinical or host-associated	SRR3578947
PDT000102233.1|SAMD00026636|GCA_001514965.1|Escherichia albertii||EC05-81|MIGS Cultured Bacterial/Archaeal	
PDT000102236.1|SAMD00026640|GCA_001515025.1|Escherichia albertii||K7744|MIGS Cultured Bacterial/Archaeal	
PDT000199182.2|SAMN05326701||Escherichia coli||CFSAN050974|Pathogen: environmental/food/other	SRR5409898
PDT000357120.1|SAMN09763403||Escherichia albertii||PNUSAE015690|Pathogen: clinical or host-associated	SRR7641333
PDT000063342.3|SAMN03569585||Escherichia albertii||2010C-4018|Pathogen: clinical or host-associated	SRR1999999
PDT000291291.1|SAMN05226111|GCA_002965165.1|Escherichia albertii||MOD1-EC6145|Pathogen: environmental/food/other	
PDT000304205.1|SAMN08668644|GCA_003027535.1|Escherichia albertii||20507-2|Pathogen: environmental/food/other	
PDT000271616.2|SAMN08172563||Escherichia coli||2009C-3967|Pathogen: clinical or host-associated	SRR6373709
PDT000327322.1|SAMN09388618|GCA_004174315.1|Escherichia albertii|Escherichia albertii|408285|Pathogen: environmental/food/other	SRR7286614
PDT000379490.1|SAMN10079570||Escherichia albertii|Escherichia albertii|579962|Pathogen: environmental/food/other	SRR7866098
PDT000205455.1|SAMN06392851|GCA_002109845.1|Escherichia albertii B156||B156|Microbe	
PDT000102229.1|SAMD00026632|GCA_001514885.1|Escherichia albertii||EC03-127|MIGS Cultured Bacterial/Archaeal	
PDT000063328.2|SAMN03569571||Escherichia coli||03-3210|Pathogen: clinical or host-associated	SRR1999984
PDT000083569.1|SAMEA1466109|GCA_001286085.1|Escherichia coli||102606_aEPEC|Generic	
PDT000212656.2|SAMN07159040||Escherichia albertii||2014C-4358|Pathogen: clinical or host-associated	SRR5590305
PDT000102214.1|SAMD00026625|GCA_001514575.1|Escherichia albertii||24|MIGS Cultured Bacterial/Archaeal	
PDT000325239.1|SAMN09380506||Escherichia albertii|Escherichia albertii|323046|Pathogen: environmental/food/other	SRR7277882
